,Unnamed: 0,survived,pclass,age,sibsp,parch,fare,adult_male,alone,sex_female,embarked_C,embarked_Q,embarked_S,class_First,class_Second,class_Third,who_child,who_man,who_woman,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,alive
0,0,0,3,22.0,1,0,7.25,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,1,38.0,1,0,71.2833,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
2,2,1,3,26.0,0,0,7.925,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
3,3,1,1,35.0,1,0,53.1,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
4,4,0,3,35.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
6,6,0,1,54.0,0,0,51.8625,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
7,7,0,3,2.0,3,1,21.075,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
8,8,1,3,27.0,0,2,11.1333,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
9,9,1,2,14.0,1,0,30.0708,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
10,10,1,3,4.0,1,1,16.7,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True
11,11,1,1,58.0,0,0,26.55,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
12,12,0,3,20.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
13,13,0,3,39.0,1,5,31.275,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
14,14,0,3,14.0,0,0,7.8542,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
15,15,1,2,55.0,0,0,16.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
16,16,0,3,2.0,4,1,29.125,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
